PC,explained_variance_ratio,cumulative_variance_ratio
1,0.1140156815820999,0.1140156815820999
2,0.09341271644973996,0.20742839803183988
3,0.07830403437038516,0.285732432402225
4,0.05158932745144706,0.3373217598536721
5,0.048050093662915766,0.38537185351658787
6,0.047077693558352146,0.43244954707494
7,0.046759260651323124,0.4792088077262631
8,0.046645619447419025,0.5258544271736821
9,0.0464202934571868,0.5722747206308689
10,0.046173143646144874,0.6184478642770138
11,0.045893719806763295,0.6643415840837771
12,0.045893719806763274,0.7102353038905403
13,0.045893719806763246,0.7561290236973036
14,0.045760828351799294,0.8018898520491029
15,0.04566699221501098,0.8475568442641139
16,0.0453329066951436,0.8928897509592575
17,0.04518445526614588,0.9380742062254034
18,0.04443711910595517,0.9825113253313585
19,0.017488674668641388,0.9999999999999999
20,3.8717262038391426e-17,0.9999999999999999
21,0.0,0.9999999999999999
22,0.0,0.9999999999999999
23,0.0,0.9999999999999999
24,0.0,0.9999999999999999
25,0.0,0.9999999999999999
26,0.0,0.9999999999999999
