,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26
response_time_sec,0.5038929419101307,-0.05316823416999282,0.01582472740932175,-0.07826303401547825,-0.14739536925348537,-0.0837486256642876,0.001062377820234551,-0.036111122353193456,0.024535531056888854,-0.03690341787379616,9.332078842784286e-16,-1.996843117053499e-15,4.696262303250075e-16,-0.012210593809951136,0.010247506878225758,0.0011355259825518687,0.028398737039464553,0.04144922275112375,0.8379148931785704,-1.0558326348805172e-18,0.0,3.5490187711619524e-18,-1.9669636230190496e-16,2.498362161064833e-19,1.1438340296923e-15,-5.899168907482767e-16
rg_threshold_sec,0.5546340740923199,-0.23781670391407023,-0.07591986225703524,0.07521616646532697,0.0953736970309304,0.04747422291495239,-0.00025395319861383145,0.021709028130959342,-0.022767347192333958,0.01838878503253781,-6.149729077768957e-16,1.0494207877341781e-15,-2.4993410830471055e-16,0.004756122494708488,0.002311690539593508,-0.0020119989192093953,-0.020494682071419495,-0.023985944783967966,-0.3143094545830256,0.03057630647009641,0.0,0.008327786346789589,-0.06859882193457424,-0.0001875314959577514,0.6991395996195366,-0.13191320178571375
sex_F,0.10475900716797737,0.4493471005485371,-0.5322564300694722,-0.00484973036168741,0.009683285026136839,0.006037286035090631,-0.00015444765812298335,0.0019218791015979061,-0.002910379234198016,0.003379892810463983,-9.319909705260949e-16,-1.4687524418382157e-15,3.5500597860550574e-16,-0.008372987150805164,-0.016690450464838472,-0.1584261800910421,-0.0160895169938289,-0.0038010462529057387,-0.021232848511693353,0.6839176233358897,0.0,-0.013927928416793143,-0.08601092270772523,0.0005880210810580245,-0.041857901094539116,-0.019472595913716893
sex_M,-0.10425235497760955,-0.4473572768257325,0.5391043219906068,0.008350777867967212,-0.006577860317647851,-0.0034871021172417525,0.00039127334580974735,0.0038407513276704774,0.01531235919508264,6.031775303634275e-05,1.6349050326671243e-16,-2.905894108149786e-15,-7.025747411397224e-17,-0.021301203867895267,-0.026097435821664003,-0.12477384207570509,-0.005324024229374826,0.0033787633522439795,0.023310952688300423,0.6862353241192761,0.0,-0.013975128210307915,-0.08630240164632469,0.0005900138019263129,-0.04199975164327103,-0.019538585806744703
sex_U,-0.0005181485852414597,-0.0016008221126507726,-0.029310025096269003,-0.01192474369140983,-0.010417103415191626,-0.008576478961332224,-0.0008046523581426386,-0.01951440258044556,-0.04207838427948508,-0.011624265151479716,3.7875312918408866e-15,1.589244959532382e-14,-3.566786742545958e-15,0.10050525467212945,0.14486792898072848,0.9582877041696617,0.07241173298687784,0.0013880967304933866,-0.007288284284569402,0.20241799375747316,0.0,-0.004122226465774864,-0.025456513798850024,0.00017403564910976836,-0.01238861534394783,-0.005763272744572594
sex_nan,-4.336808689942018e-19,0.0,1.1102230246251565e-16,-0.0,5.551115123125783e-17,-1.3877787807814457e-17,7.502679033599691e-17,-4.163336342344337e-17,-2.7755575615628914e-17,-1.3877787807814457e-17,8.702330307133426e-17,7.727276866327684e-18,-9.003823175376845e-17,2.0816681711721685e-17,4.163336342344337e-17,1.6740081543176188e-16,1.1102230246251565e-16,-0.0,-4.336808689942018e-19,0.0006966597463312725,0.0,0.9885438212748219,-0.14394595375705038,-0.037546174361334984,-0.024886698104809292,0.005579205123832269
group_Addition2,-0.08979470001787171,0.0668835175391936,0.0484215929997982,-0.13098866858776131,-0.0023951583072360514,0.36705539395828474,0.7104111964424124,-0.11656957211359799,-0.35716369087040006,-0.27818640730924044,-1.7722381685629797e-15,-9.911863128981946e-15,8.156689257312243e-15,0.038622880568240106,0.11973883614181861,-0.035269623625980455,-0.05260138079327184,-0.0011966036256432235,0.07462995086862242,0.016570488522973402,0.0,0.002376198313722788,-0.002594451122223676,-8.766839742042686e-05,0.1637421182288793,0.23977038413671067
group_BasicGeometry,-0.07834061698949542,0.04080883277819802,0.02294689826374906,-0.13900081490126517,0.7725818975655481,-0.4882580011139477,0.003135108241244646,-0.05832025094026666,0.005072224675225946,-0.1603708027857893,1.337384731891444e-15,-4.744777839876695e-15,-3.0342223164220332e-15,-0.015467461618849883,0.03987148720560785,-0.00343204480991081,-0.0005797851722956494,0.026676528411778446,0.11164915646983233,0.016101539016051,0.0,0.002018888637555517,0.0021730026567989146,-8.329217517295233e-05,0.129904613956382,0.2752340755905101
group_DebugRobotCode,0.08084204079378551,-0.036946774354074945,-0.01749942965088801,-0.06915054564616907,-0.15165770817537028,-0.11388135048302385,0.0021545918527590196,-0.07373070017978468,0.009589225114900688,-0.05854603281555434,1.2361582943821898e-16,-2.2323241908871995e-15,4.542079962052717e-15,-0.016164010757996793,0.08158520091805295,-0.0274940362959801,0.11210546119281388,0.9353650625448185,-0.15245319762896006,0.0029449070199845015,0.0,-0.00029622287383190425,0.011166605506671045,-1.0885827438363303e-05,-0.04324056219874989,0.14726861920677986
group_Division1,-0.04342019865401339,0.02792622511632682,0.015319461268782851,-0.14277105590967923,-0.19563201436725333,-0.12288682505034526,0.0017721322306599755,-0.15818512873522875,0.18092455153184042,0.08653676246050114,-0.005843692553264264,-0.2427837267007058,0.8305009750964695,0.09628378418360405,0.05190581523413752,-0.003717131266549137,-0.1731680532572202,-0.07619220367261394,-0.030331125333613436,0.013562085963318253,0.0,0.001825747425451009,-0.0001968960508829429,-7.097421710329483e-05,0.12202868889612904,0.21357960821744032
