IDCode,n_items,n_rg,n_rg_incorrect,n_rg_correct,median_rt,mean_rt,rg_rate,flag_rg_participant
bacy598,57,34,28,6,3.3123333333333336,7.366538011695907,0.5964912280701754,True
baky109,57,14,13,1,9.4,14.960701754385966,0.24561403508771928,True
bene344,57,6,1,5,9.462,16.392333333333333,0.10526315789473684,True
bevi590,57,17,2,15,7.2992,8.304526315789474,0.2982456140350877,True
bihi184,57,10,10,0,7.6,6.7599599999999995,0.17543859649122806,True
biku776,57,10,2,8,10.0,18.900543859649122,0.17543859649122806,True
biqe951,57,9,8,1,12.3854,15.21384210526316,0.15789473684210525,True
bomo360,57,6,0,6,9.251333333333331,15.236719298245612,0.10526315789473684,True
buby236,57,32,29,3,4.26625,11.480964912280701,0.5614035087719298,True
buny935,57,7,3,4,6.9,13.112736842105262,0.12280701754385964,True
buqe642,57,12,2,10,8.882,13.77759649122807,0.21052631578947367,True
cidy099,57,13,0,13,11.6588,13.105842105263157,0.22807017543859648,True
copo281,57,22,22,0,8.492,12.951631578947367,0.38596491228070173,True
cozi663,57,25,18,7,4.9585,8.75842105263158,0.43859649122807015,True
cyfe247,57,13,9,4,13.0,14.010894736842104,0.22807017543859648,True
cyhu257,57,8,8,0,14.876,15.342592592592593,0.14035087719298245,True
dahi696,57,14,1,13,5.7,9.65442105263158,0.24561403508771928,True
dero258,57,6,0,6,5.793,9.838298245614036,0.10526315789473684,True
difi858,57,13,5,8,9.445200000000002,13.934087719298246,0.22807017543859648,True
diha837,57,8,5,3,7.6,14.331561403508772,0.14035087719298245,True
doxi119,57,7,6,1,8.9,15.226947368421053,0.12280701754385964,True
dugu064,57,10,9,1,14.014666666666669,19.179385964912278,0.17543859649122806,True
dyzo734,57,13,11,2,5.965,8.928185185185185,0.22807017543859648,True
fefu774,57,6,0,6,8.1844,13.75059649122807,0.10526315789473684,True
feke878,57,10,7,3,12.73,24.18235087719298,0.17543859649122806,True
fifa517,57,22,3,19,4.976,10.38743859649123,0.38596491228070173,True
fike806,57,12,5,7,8.2745,11.007035087719297,0.21052631578947367,True
fofa613,57,9,9,0,11.516333333333334,11.402649122807018,0.15789473684210525,True
gaqe214,57,25,2,23,4.9065,8.775842105263159,0.43859649122807015,True
garu074,57,18,1,17,5.8,10.806649122807018,0.3157894736842105,True
gelu604,57,17,0,17,6.267,11.185421052631579,0.2982456140350877,True
gery678,57,7,3,4,11.5,12.928366666666667,0.12280701754385964,True
giki066,57,32,0,32,4.0025,8.955473684210526,0.5614035087719298,True
gony054,57,10,3,7,12.118666666666666,17.739719298245614,0.17543859649122806,True
gyly160,57,15,5,10,7.512,13.48156140350877,0.2631578947368421,True
hata313,57,7,7,0,10.6575,17.30380701754386,0.12280701754385964,True
hefy659,57,15,4,11,7.2370833333333335,10.790370370370372,0.2631578947368421,True
