IDCode,n_items,n_rg,n_rg_incorrect,n_rg_correct,median_rt,mean_rt,rg_rate,flag_rg_participant
baco446,57,0,0,0,10.8,16.63045744680851,0.0,False
bacy598,57,34,28,6,3.3123333333333336,7.366538011695907,0.5964912280701754,True
bajo794,57,0,0,0,11.166333333333334,18.00824561403509,0.0,False
baky109,57,14,13,1,9.4,14.960701754385966,0.24561403508771928,True
bebo956,57,0,0,0,17.329,21.828481481481482,0.0,False
bejy525,57,0,0,0,15.6174,22.3180701754386,0.0,False
bene344,57,6,1,5,9.462,16.392333333333333,0.10526315789473684,True
bepo134,57,0,0,0,10.6102,15.334684210526316,0.0,False
bevi590,57,17,2,15,7.2992,8.304526315789474,0.2982456140350877,True
bihi184,57,10,10,0,7.6,6.7599599999999995,0.17543859649122806,True
biku776,57,10,2,8,10.0,18.900543859649122,0.17543859649122806,True
biqe951,57,9,8,1,12.3854,15.21384210526316,0.15789473684210525,True
biry098,57,0,0,0,14.7232,19.99684444444444,0.0,False
biwu043,57,0,0,0,8.788,15.05078947368421,0.0,False
bofi323,57,0,0,0,18.96633333333333,21.778622641509436,0.0,False
bofi991,57,0,0,0,13.78175,16.532526315789475,0.0,False
bomo360,57,6,0,6,9.251333333333331,15.236719298245612,0.10526315789473684,True
bopa107,57,5,5,0,8.675333333333334,9.734142857142857,0.08771929824561403,False
boqe999,57,0,0,0,9.702,13.779157894736842,0.0,False
bowo488,57,0,0,0,11.966,21.03488679245283,0.0,False
bube109,57,0,0,0,12.988,18.464087719298245,0.0,False
buby236,57,32,29,3,4.26625,11.480964912280701,0.5614035087719298,True
buby593,57,0,0,0,7.7,12.674649122807018,0.0,False
buny935,57,7,3,4,6.9,13.112736842105262,0.12280701754385964,True
buqe642,57,12,2,10,8.882,13.77759649122807,0.21052631578947367,True
buvy316,57,0,0,0,12.748,20.618701754385967,0.0,False
buzo685,57,0,0,0,8.051,15.72137037037037,0.0,False
cahe192,57,3,0,3,7.4685,12.186614035087718,0.05263157894736842,False
cani065,57,0,0,0,13.4,18.960263157894737,0.0,False
cape571,57,0,0,0,12.199,18.569526315789474,0.0,False
caro445,57,0,0,0,15.085,17.976859649122808,0.0,False
cave700,57,5,5,0,9.016,14.691851851851853,0.08771929824561403,False
ciby707,57,0,0,0,13.1708,24.040140350877195,0.0,False
cidy099,57,13,0,13,11.6588,13.105842105263157,0.22807017543859648,True
